"Indicator type","Indicator","Description"
"domain","todaytongitsgo.com",""
"domain","tongits-bingoplus.com",""
"domain","tongits-bingoplus.mom",""
"domain","tongits-bp.com",""
"domain","tongits-bp.store",""
"domain","tongits-go.com",""
"domain","tongits-goph.com",""
"domain","tongits-gz.store",""
"domain","tongits-pro.online",""
"domain","tongits-pro.store",""
"domain","tongits.ai",""
"domain","tongits.bet",""
"domain","tongits.io",""
"domain","tongits.net",""
"domain","tongits.online",""
"domain","tongits.store",""
"domain","tongits.top",""
"domain","tongits.xyz",""
"domain","tongits247.win",""
"domain","tongits247app.com",""
"domain","tongits247ph.com",""
"domain","tongits247play.win",""
"domain","tongits247s.win",""
"domain","tongits247web.win",""
"domain","tongits538.com",""
"domain","tongits7.com",""
"domain","tongits777.com",""
"domain","tongits8.com",""
"domain","tongits827.com",""
"domain","tongits9.com",""
"domain","tongits957.com",""
"domain","tongitsbonus.fun",""
"domain","tongitsclub.pro",""
"domain","tongitsclub.xyz",""
"domain","tongitsfree.com",""
"domain","tongitsfreego.com",""
"domain","tongitsfreeplay.com",""
"domain","tongitsfreewin.com",""
"domain","tongitsfun.xyz",""
"domain","tongitsgame.com",""
"domain","tongitsgame.net",""
"domain","tongitsgameonline.com",""
"domain","tongitsgo.online",""
"domain","tongitsgo.xyz",""
"domain","tongitsgo7.com",""
"domain","tongitsgoonline.xyz",""
"domain","tongitsgoonlinegames.xyz",""
"domain","tongitsgopro.xyz",""
"domain","tongitsha.com",""
"domain","tongitshub.com",""
"domain","tongitsig.com",""
"domain","tongitsiw.com",""
"domain","tongitsjoker-gz.com",""
"domain","tongitsland.online",""
"domain","tongitsland.xyz",""
"domain","tongitslogin.com",""
"domain","tongitslogingo.com",""
"domain","tongitsmania.com",""
"domain","tongitsmb.com",""
"domain","tongitsnow.com",""
"domain","tongitsoffline.xyz",""
"domain","tongitsofflinegame.com",""
"domain","tongitsonline.site",""
"domain","tongitsonline.xyz",""
"domain","tongitsonline1.com",""
"domain","tongitsonline8.com",""
"domain","tongitsonlinecasino.com",""
"domain","tongitsonlinecom.com",""
"domain","tongitsonlinefree.com",""
"domain","tongitspc.com",""
"domain","tongitspinoy.xyz",""
"domain","tongitsplaycom.com",""
"domain","tongitsplayfree.com",""
"domain","tongitsplayph.com",""
"domain","tongitsprj.com",""
"domain","tongitspro.online",""
"domain","tongitspro.xyz",""
"domain","tongitsreward.fun",""
"domain","tongitsshow.xyz",""
"domain","tongitsspin.com",""
"domain","tongitsspin.net",""
"domain","tongitsstar.online",""
"domain","tongitsstar.xyz",""
"domain","tongitsstarcom.com",""
"domain","tongitsstargzone.com",""
"domain","tongitsstarph.com",""
"domain","tongitstest.online",""
"domain","tongitstime.com",""
"domain","tongitstoday.com",""
"domain","tongitsupdate.com",""
"domain","tongitsvip.com",""
"domain","tongitsvip.net",""
"domain","tongitswith.com",""
"domain","tongitszingplay.xyz",""
"domain","withtongits.com",""
"domain","wwwtongits247.com",""
"domain","wwwtongitsplay.com",""
"domain","wwwtongitsstar.com",""
"domain","zhitongits.com",""
"domain","jili-app.top",""
"domain","jili-casino.bar",""
"domain","jili-casino.bond",""
"domain","jili-casino.cyou",""
"domain","jili-casino.icu",""
"domain","jili-casino.rest",""
"domain","jili-casino.site",""
"domain","jili-casino.store",""
"domain","jili-casino.xyz",""
"domain","jili-city.top",""
"domain","jili-mg.top",""
"domain","jili-pg.top",""
"domain","jili-ps.top",""
"domain","jili-pt.top",""
"domain","jili-s.top",""
"domain","jili-slot.bar",""
"domain","jili-slot.bond",""
